match_id,Player 1,Player 2,Pl 1 hand,Pl 2 hand,Gender,Date,Tournament,Round,Time,Court,Surface,Umpire,Best of,Final TB?,Charted by,Year,best_of_game,regular_tiebreak_trigger,final_set_tiebreak_trigger
20220310-M-Indian_Wells_Masters-R128-Sebastian_Baez-Nick_Kyrgios,sebastian_baez,nick_kyrgios,r,r,m,20220310,indian_wells_masters,r128,18:05,Stadium 1,hard,Greg Allensworth,3,1,Zindaras,2022,6,6,6
20220305-M-Davis_Cup_Qualifiers-RR-Robin_Haase-Steven_Diez,robin_haase,steven_diez,r,r,m,20220305,davis_cup_qualifiers,rr,15:10,The Hague,clay,Richard Haigh,3,1,Zindaras,2022,6,6,6
20220304-M-Davis_Cup_Qualifiers-RR-Tallon_Griekspoor-Steven_Diez,tallon_griekspoor,steven_diez,r,r,m,20220304,davis_cup_qualifiers,rr,17:05,The Hague,clay,Richard Haigh,3,1,Zindaras,2022,6,6,6
20220304-M-Davis_Cup_Qualifiers-RR-Alexis_Galarneau-Botic_Van_De_Zandschulp,alexis_galarneau,botic_van_de_zandschulp,r,r,m,20220304,davis_cup_qualifiers,rr,14:20,The Hague,clay,,3,1,Zindaras,2022,6,6,6
20220227-M-Santiago-F-Pedro_Martinez-Sebastian_Baez,pedro_martinez,sebastian_baez,r,r,m,20220227,santiago,f,,Centre,clay,,3,1,Ángel Moreno,2022,6,6,6
20220226-M-Dubai-F-Andrey_Rublev-Jiri_Vesely,andrey_rublev,jiri_vesely,r,l,m,20220226,dubai,f,7pm,Centre,hard,Carlos Bernardes,3,1,Edo,2022,6,6,6
20220225-M-Santiago-QF-Thiago_Monteiro_-Sebastian_Baez,thiago_monteiro,sebastian_baez,l,r,m,20220225,santiago,qf,11:30:00,Centre,clay,,3,1,Ángel Moreno,2022,6,6,6
20220225-M-Acapulco-SF-Rafael_Nadal-Daniil_Medvedev,rafael_nadal,daniil_medvedev,l,r,m,20220225,acapulco,sf,22:10,Estadio,hard,Aurelie Tourte,3,1,Zindaras,2022,6,6,6
20220224-M-Acapulco-R16-Daniil_Medvedev-Pablo_Andujar,daniil_medvedev,pablo_andujar,r,r,m,20220224,acapulco,r16,,,hard,,3,1,Ludo,2022,6,6,6
20220224-M-Acapulco-QF-Daniil_Medvedev-Yoshihito_Nishioka,daniil_medvedev,yoshihito_nishioka,r,l,m,20220224,acapulco,qf,17:00 PM,Centre,hard,Nacho Forcadell,3,1,Ángel Moreno,2022,6,6,6
20220223-M-Santiago-R16-Sebastian_Baez-Juan_Ignacio_Londero,sebastian_baez,juan_ignacio_londero,r,r,m,20220223,santiago,r16,,Center,clay,,3,1,Ishan Porwal,2022,6,6,6
20220223-M-Acapulco-R32-Benoit_Paire-Daniil_Medvedev,benoit_paire,daniil_medvedev,r,r,m,20220223,acapulco,r32,,Estadio,hard,,3,1,Ludo,2022,6,6,6
