match_id,Player 1,Player 2,Pl 1 hand,Pl 2 hand,Gender,Date,Tournament,Round,Time,Court,Surface,Umpire,Best of,Final TB?,Charted by,Year,best_of_game,regular_tiebreak_trigger,final_set_tiebreak_trigger
20220313-W-Indian_Wells-R32-Iga_Swiatek-Clara_Tauson,iga_swiatek,clara_tauson,r,r,w,20220313,indian_wells,r32,,,hard,Kader Nouni,3,1,Elephant,2022,6,6,6
20220311-W-Indian_Wells-R64-Iga_Swiatek-Anhelina_Kalinina,iga_swiatek,anhelina_kalinina,r,r,w,20220311,indian_wells,r64,,,hard,,3,1,Elephant,2022,6,6,6
20220311-W-Indian_Wells-R64-Beatriz_Haddad_Maia-Clara_Tauson,beatriz_haddad_maia,clara_tauson,l,r,w,20220311,indian_wells,r64,,,hard,Marija Cicak,3,1,Elephant,2022,6,6,6
20220310-W-Indian_Wells-R128-Naomi_Osaka-Sloane_Stephens,naomi_osaka,sloane_stephens,r,r,w,20220310,indian_wells,r128,15:40,Stadium 1,hard,Juan Zhang,3,1,Zindaras,2022,6,6,6
20220309-W-Indian_Wells-R128-Clara_Burel-Anhelina_Kalinina,clara_burel,anhelina_kalinina,r,r,w,20220309,indian_wells,r128,,,hard,,3,1,Elephant,2022,6,6,6
20220306-W-Lyon-F-Dayana_Yastremska-Shuai_Zhang,dayana_yastremska,shuai_zhang,r,r,w,20220306,lyon,f,15:10,Court Central,hard,Marta Mrozinska,3,1,Zindaras,2022,6,6,6
20220301-W-Lyon-R32-Danka_Kovinic-Arantxa_Rus,danka_kovinic,arantxa_rus,r,l,w,20220301,lyon,r32,14:10,1,hard,,3,1,Zindaras,2022,6,6,6
20220226-W-Doha-F-Anett_Kontaveit-Iga_Swiatek,anett_kontaveit,iga_swiatek,r,r,w,20220226,doha,f,18:10,Center,hard,Marija Cicak,3,1,Zindaras,2022,6,6,6
20220225-W-Doha-SF-Iga_Swiatek-Maria_Sakkari,iga_swiatek,maria_sakkari,r,r,w,20220225,doha,sf,,,hard,Kader Nouni,3,1,Elephant,2022,6,6,6
20220225-W-Doha-SF-Anett_Kontaveit-Jelena_Ostapenko,anett_kontaveit,jelena_ostapenko,r,r,w,20220225,doha,sf,,,hard,Miriam Bley,3,1,Elephant,2022,6,6,6
20220224-W-Doha-QF-Anett_Kontaveit-Ons_Jabeur,anett_kontaveit,ons_jabeur,r,r,w,20220224,doha,qf,,,hard,Mohamed Lahyani,3,1,Elephant,2022,6,6,6
20220223-W-Doha-R16-Iga_Swiatek-Daria_Kasatkina,iga_swiatek,daria_kasatkina,r,r,w,20220223,doha,r16,,,hard,Ali Katebi,3,1,Elephant,2022,6,6,6
20220223-W-Doha-R16-Anett_Kontaveit-Elise_Mertens,anett_kontaveit,elise_mertens,r,r,w,20220223,doha,r16,,,hard,Timo Janzen,3,1,Elephant,2022,6,6,6
20220222-W-Doha-R32-Paula_Badosa-Clara_Tauson,paula_badosa,clara_tauson,r,r,w,20220222,doha,r32,,,hard,Marija Cicak,3,1,Elephant,2022,6,6,6
20220222-W-Doha-R32-Iga_Swiatek-Viktorija_Golubic,iga_swiatek,viktorija_golubic,r,r,w,20220222,doha,r32,,,hard,,3,1,Elephant,2022,6,6,6
20220221-W-Guadalajara-R32-Brenda_Fruhvirtova-Sloane_Stephens,brenda_fruhvirtova,sloane_stephens,r,r,w,20220221,guadalajara,r32,,,hard,Yamila Halle,3,1,Elephant,2022,6,6,6
20220221-W-Doha-R32-Anett_Kontaveit-Ana_Konjuh,anett_kontaveit,ana_konjuh,r,r,w,20220221,doha,r32,,,hard,Katarzyna Radwan-Cho,3,1,Elephant,2022,6,6,6
